event,start,end
核三啟動商轉,1984,1985
核二除役,2021,2023
核一除役,2018,2019
明湖抽蓄式水力發電廠正式商轉,1985,1985
開放民間經營發電業,1995,1999
明潭抽蓄式水力發電廠正式商轉,1995,1999
麥寮發電廠啟用商轉,1995,1999
和平電廠啟用商轉,2000,2004
行政院推行「陽光屋頂」十萬戶太陽能設備,2000,2005
行政院通過「風力示範計畫」,2000,2005
彰濱工業區風力發電場設置完成,2005,2009
台中發電廠增設兩部汽力發電機組,2006,2009
大潭發電廠商轉,2009,2009
再生能源發展條例三讀通過,2009,2012
龍井太陽光電場竣工啟用,2012,2014
智慧電網總體規劃方案核定,2012,2014
核四停工封存,2014,2019
離岸風力發電規劃場址容量分配作業要點公布,2015,2019
海洋竹南風力發電場第一期開始商轉,2017,2018
金湖水庫太陽光電場正式商轉,2017,2019
《電業法》三讀通過，開放綠電市場,2017,2019
海能離岸風力發電場正式商轉,2023,2024
